编号,震源号,震源X/m,震源Y/m,震源Z/m,台站X/m,台站Y/m,台站Z/m,到时/ms,传播时间/ms
,98,5476,10237,384,5511,10133,393,1018,31.4571298819228
,98,5476,10237,384,5511,10329,384,994,28.1236337536636
,98,5476,10237,384,5265,10025,391,1040,85.4825438678708
,99,5492,10314,384,5265,10213,389,1068,71.0015808964555
,99,5492,10314,384,5511,10133,393,1059,52.0619724904064
,99,5492,10314,384,5511,10329,384,999,6.91641053537726
,99,5492,10314,384,5265,10025,391,1079,105.01661676096
,100,5472,10334,397,5265,10213,389,1035,68.5440421501804
,100,5472,10334,397,5511,10133,393,1029,58.5107699836674
,100,5472,10334,397,5511,10329,384,983,11.8321595661992
,100,5472,10334,397,5265,10025,391,1088,106.278801618523
,101,5490,10390,384,5265,10213,389,1067,81.8056432363081
,101,5490,10390,384,5511,10133,393,1051,73.7181615813822
,101,5490,10390,384,5511,10329,384,994,18.4324469900449
,101,5490,10390,384,5265,10025,391,1097,122.524133399531
,102,5384,10399,384,5265,10213,389,990,63.1047072858488
,102,5384,10399,384,5511,10133,393,1018,84.2571380128856
,102,5384,10399,384,5511,10329,384,970,41.4325121278506
,102,5384,10399,384,5265,10025,391,1042,112.153684645632
,103,5452,10459,384,5265,10213,389,1041,88.2991205725037
,103,5452,10459,384,5511,10133,393,1049,94.690904246072
,103,5452,10459,384,5511,10329,384,986,40.7891542207094
,103,5452,10459,384,5265,10025,391,1090,135.035596214102
,104,5511,10351,384,5265,10213,389,1083,80.6023243701914
,104,5511,10351,384,5511,10133,393,1054,62.3387716351517
,104,5511,10351,384,5511,10329,384,997,6.28571428571429
,104,5511,10351,384,5265,10025,391,1111,116.703356718596
,105,5438,10355,388,5265,10213,389,1040,63.9476826980382
,105,5438,10355,388,5511,10133,393,1043,66.7850649319081
,105,5438,10355,388,5511,10329,384,1001,22.170029410933
,105,5438,10355,388,5265,10025,391,1084,106.459918681701
,106,5436,10394,384,5265,10213,389,1041,71.1577723894486
,106,5436,10394,384,5511,10133,393,1054,77.6317839389964
,106,5436,10394,384,5511,10329,384,1000,28.3563332018274
,106,5436,10394,384,5265,10025,391,1086,116.216195436061
,107,5466,10400,384,5265,10213,389,1054,78.4518570688484
,107,5466,10400,384,5511,10133,393,1054,77.404318816385
,107,5466,10400,384,5511,10329,384,994,24.0170007813343
,107,5466,10400,384,5265,10025,391,1083,121.579737839252
,108,5465,10383,384,5265,10213,389,1060,75.0102033875719
,108,5465,10383,384,5511,10133,393,1044,72.6731570464779
,108,5465,10383,384,5511,10329,384,998,20.2675975439637
,108,5465,10383,384,5265,10025,391,1090,117.182223350591
,109,5512,10360,384,5265,10213,389,1054,82.1362730280524
,109,5512,10360,384,5511,10133,393,1037,64.9087271261951
,109,5512,10360,384,5511,10329,384,981,8.86174995386904
,109,5512,10360,384,5265,10025,391,1094,118.935070607488
,110,5447,10369,384,5265,10213,389,1070,68.5029419895561
,110,5447,10369,384,5511,10133,393,1063,69.911314082448
,110,5447,10369,384,5511,10329,384,989,21.5633854447008
,110,5447,10369,384,5265,10025,391,1077,111.211877210364
,111,5319,10417,384,5265,10213,389,985,60.3100830910469
,111,5319,10417,384,5511,10133,393,1025,97.9800062903298
,111,5319,10417,384,5511,10329,384,979,60.3445887197444
,111,5319,10417,384,5265,10025,391,1021,113.075376702121
,112,5485,10370,384,5265,10213,389,1061,77.2348657653777
,112,5485,10370,384,5511,10133,393,1049,68.1690575566603
,112,5485,10370,384,5511,10329,384,996,13.871126964501
,112,5485,10370,384,5265,10025,391,1092,116.924535230103
,113,5477,10348,384,5265,10213,389,1059,71.8240480448646
,113,5477,10348,384,5511,10133,393,1059,62.2450719301684
,113,5477,10348,384,5511,10329,384,1009,11.1281954823717
,113,5477,10348,384,5265,10025,391,1103,110.406299731529
,114,5456,10401,384,5265,10213,389,1055,76.5852865924583
,114,5456,10401,384,5511,10133,393,1062,78.2095562823211
,114,5456,10401,384,5511,10329,384,1002,25.8867234114245
,114,5456,10401,384,5265,10025,391,1101,120.511156228418
,115,5462,10138,384,5265,10213,389,1012,60.2437226808651
,115,5462,10138,384,5511,10133,393,981,14.3057003052801
